"","state_id","city_ascii","county_fips","commute","income","healthcare","unemployment","mortgage","rent","libraries","violent_crime","property_crime","taxes","population","total_points"
"126","NE","Grand Island",31079,2.9,2.3,0.7,3.2,2,2.4,2.8,1.1,0.2,0.3,0.4,18.3
"127","AZ","Tucson",4019,1,1.7,2.2,1.3,1.3,1,0.7,0.7,NA,2,6.2,18.1
"128","MD","Baltimore",24510,0.2,1.1,3.9,0.3,0.4,0.2,0.4,0.6,2,1.1,7.8,18
"129","NV","Henderson",32003,1,2.8,0.6,0.8,0.9,0.4,1.5,1.8,1.6,2.7,3.9,18
"130","LA","Shreveport",22017,2.3,0.7,1.6,3,1.1,1,1.5,0.4,0.6,1.7,3.8,17.7
"131","AL","Mobile",1097,1,1.3,1.8,2.2,1.6,0.9,2.4,NA,NA,2.2,4.2,17.6
"132","VA","Richmond",51760,1.8,0.8,0.5,0.4,0.2,0.3,0.6,2.2,2.5,1.6,6.6,17.5
"133","ID","Nampa",16027,1,0.7,0.5,1.8,1.6,0.6,2.1,2,2,2.5,2.3,17.1
"134","LA","New Orleans",22071,1.2,0.8,1.5,0.8,0.2,0.3,0.6,1.3,2.1,1.7,6.6,17.1
"135","TN","Memphis",47157,1.5,1.8,1.3,0.5,0.9,0.9,0.6,0.1,0.3,2.4,6.7,17
"136","NY","Queens",36081,0,4.5,1.7,2.1,0.1,0.1,0.3,NA,NA,0.2,7.9,16.9
"137","NV","Las Vegas",32003,1,2.8,0.6,0.8,0.9,0.4,0,NA,NA,2.7,7.7,16.9
"138","IN","Indianapolis",18097,1.3,1.2,1.4,0.7,1.8,0.9,0.8,NA,NA,1,7.2,16.3
"139","PA","Philadelphia",42101,0.1,0.4,2.4,0.0999999999999996,0.4,0.1,0.1,1,2.3,0.1,8.7,15.7
"140","NY","Brooklyn",36047,0,1.5,3.2,1,0,0,0.3,NA,NA,0.2,7.9,14.1
"141","NJ","Newark",34013,0.1,5.7,0.9,0,0.1,0.7,1.6,0,0.6,0.7,3.6,14
"142","MS","Gulfport",28047,1.5,0.6,0.2,0.5,0.6,0.5,1.9,2.8,1.6,0.9,2.8,13.9
"143","GA","Savannah",13051,1.8,2.9,0.4,0.6,0.8,0.6,1.7,NA,NA,1.8,3.3,13.9
"144","MO","Saint Louis",29510,1.2,0.2,1.2,0.3,0.5,0.6,0.6,NA,NA,1.2,7.7,13.5
"145","NM","Las Cruces",35013,2.3,0.1,1.1,0.6,0.5,0.5,2.3,1.1,0.7,1.9,2,13.1
"146","VA","Norfolk",51710,2.1,1,0.8,1.5,0.3,0.2,1.8,0.3,0.1,1.6,3,12.7
"147","MS","Jackson",28049,1.5,0.5,0.9,0.3,1.3,0.6,1.3,0.5,0.3,0.9,4.3,12.4
"148","NJ","Jersey City",34017,0,3.6,0.3,1.3,0,0.1,1.7,0.2,1.2,0.7,3.3,12.4
"149","GA","Augusta",13245,2.4,0.1,0.7,0.2,0.8,0.3,1.2,NA,NA,1.8,4.6,12.1
"150","MS","Hattiesburg",28035,1.9,0.3,0.4,0,1,0.7,2.6,2.3,0.9,0.9,1.1,12.1
"151","KS","Kansas City",20209,1.9,0.2,0.2,0.7,0.6,0.4,2.2,0.4,0.1,0.3,2.1,9.1
